name,longitude,latitude,key,country,stateProvince,year,publishingArticle,accessionNum,accessionNum_ND2,accessionNum_ND6
Lycorma delicatula,120.369,36.1206,SDQD1-10,CN,"Shibei District, Qingdao, Shandong",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.1131,36.1986,SDTA1-10,CN,"Taishan District, Taian, Shandong",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,116.2828,40.0253,BJHD1-10,CN,"Haidian District, Beijing",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,112.4249,37.6661,SXTY1-10,CN,"Jinyuan District, Taiyuan, Shanxi",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,111.4757,35.6569,SXLF1-10,CN,"Qvwo Country, Linfen, Shanxi",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,113.7939,33.7066,HNLH1-10,CN,"Yancheng District, Luohe, Henan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,108.0737,34.2623,SXYL1-10,CN,"Yangling, Xianyang, Shannxi",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,109.4571,36.619,SXYA1-10,CN,"Baota District, Yan'an, Shannxi",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,114.5153,37.9757,HBSJ1-10,CN,"Yuhua District, Shijiazhuang, Hebei",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,121.4692,31.2323,SHPT1-10,CN,"Putuo District, Shanghai",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,103.2568,36.1679,GSLZ1-10,CN,"Honggu District, Lanzhou, Gansu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,102.4873,35.8514,QHXH1-10,CN,"Xunhua County, Haidong, Qinghai",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,121.6529,38.9109,LNDL1-10,CN,"Zhongshan District, Dalian, Liaoning",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,123.008,41.1044,LNAS1-10,CN,"Tiedong District, Anshan, Liaoning",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.1804,31.7762,AHHF1-10,CN,"Shushan District, Hefei, Anhui",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,118.2682,29.8159,AHHS1-10,CN,"Huizhou District, Huangshan, Anhui",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,113.1655,29.3528,HNYY1-10,CN,"Yueyanglou District, Yueyang, Hunan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,114.1818,30.6426,HBWH1-10,CN,"Dongxihu District, Wuhan, Hubei",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,112.1743,32.0106,HBXY1-10,CN,"Xiangcheng District, Xiangyang, Hubei",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,104.7313,27.1307,GZHZ1-10,CN,"Hezhang Country, Bijie, Guizhou",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,107.9831,26.5808,GZKL1-10,CN,"Kaili City, Qiandongnan, Guizhou",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.0832,27.7206,JXZX1-10,CN,"Zixi Country, Fuzhou, Jiangxi",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,119.9728,28.4473,ZJLS1-10,CN,"Liandu District, Lishui, Zhejiang",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.1785,34.1996,JSXZ1-10,CN,"Tongshan District, Xuzhou, Jiangsu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,120.1687,33.384,JSYN1-10,CN,"Tinghu District, Yancheng, Jiangsu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,118.8242,32.0559,JSNJ1-10,CN,"Xuanwu District, Nanjing, Jiangsu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,106.1324,38.5359,NXYC1-10,CN,"Xixia District, Yinchuan, Ningxia",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,106.3381,28.6017,CQJJ1-10,CN,"Jiangjin District, Chongqing",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,109.0956,31.7711,CQCK1-10,CN,"Chengkou District, Chongqing",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,103.2094,31.4903,SCAB1-10,CN,"Li Country, Aba, Sichuan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,103.6751,22.9863,YNPB1-2,CN,"Pingbian Country, Honghe, Yunnan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.7267,40.538,USPA1,US,"Kutztown Rd, Berks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.6334,40.3902,USPA2-3,US,"Anthonys Mill Rd, Berks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.9235,40.4325,USPA4,US,"Ontelaunee Township, Berks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.5319,40.1336,USPA5,US,"647 Nutt Road, Chester",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-76.3416,40.3098,USPA6,US,"2208 S 5th Ave, Lebanon",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.1697,40.3246,USPA7,US,"Peace Valley Park, Bucks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.5285,40.4212,USPA8-9,US,"Palm Hill Road, Montgomery",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-76.0615,40.1449,USPA10,US,"Blue Rock Rd, Lancaster",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,127.0504,37.5962,KRSL1-10,SK,"Hoegi dong, Dongdaemun gu, Seoul",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,129.1579,37.4539,KRSK1-10,KR,"Gyo dong, Samcheog, Gangwon do",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,126.9036,35.1761,KRGJ1-10,KR,"Yongbong dong, Buk gu, Kwangju",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,129.076,35.2341,KRBS1-10,KR,"Jangjeon dong, Geumjeong gu, Busan",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,127.3415,36.3626,KRDJ1-10,KR,"Gung dong, Yuseong gu, Daejeon",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,127.7423,37.8695,KRCC1-10,KR,"Seoksa dong, Chuncheon, Gangwon do",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,128.6113,35.8901,KRDQ1-10,KR,"Daehyeon dong, Buk gu, Daegu",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,136.4172,36.3551,JPIS1-10,JP,"Futsumachi, Komatsu, Ishikawa, JP",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,116.23,40,Xin_2020_01,CN,Beijing,2016,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.53,38.94,Xin_2020_02,CN,"Guangang, Tianjin",2016,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,116.58,39.42,Xin_2020_03,CN,"Langfang, Hebei",2016,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,121.38,31.24,Xin_2020_04,CN,Shanghai,2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,124.37,40.13,Xin_2020_05,CN,"Dandong, Liaoning",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,116.95,34.19,Xin_2020_06,CN,"Xiaoxian, Anhui",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.2,31.88,Xin_2020_07,CN,"Hefei, Anhui",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.17,34.6,Xin_2020_08,CN,"Lianyungang, Jiangsu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,118.75,33.1,Xin_2020_09,CN,"Nanjing, Jiangsu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,120.32,31.48,Xin_2020_10,CN,"Wuxi, Jiangsu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,114.18,30.63,Xin_2020_11,CN,"Wuhan, Hubei",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,111.3,30.71,Xin_2020_12,CN,"Yichang, Hubei",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.6,28.4,Xin_2020_13,CN,"Hengfeng, Jiangxi",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,120.12,30.08,Xin_2020_14,CN,"Hangzhou, Zhejiang",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.72,29.07,Xin_2020_15,CN,"Jinhua, Zhejiang",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.88,28.45,Xin_2020_16,CN,"Lishui, Zhejiang",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.4,27.8,Xin_2020_17,CN,"Huairen, Guizhou",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.74,27.89,Xin_2020_18,CN,"Meitan, Guizhou",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,109.46,36.61,Xin_2020_19,CN,"""Yan'an, Shaanxi""",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,108.93,34.35,Xin_2020_20,CN,"""Xi'an, Shaanxi""",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,105.75,34.58,Xin_2020_21,CN,"Tianshui, Gansu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,103.85,36.05,Xin_2020_22,CN,"Lanzhou, Gansu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.16,36.17,Xin_2020_23,CN,"""Taian Shandong""",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,121.38,37.37,Xin_2020_24,CN,"Yantai, Shandong",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,114.65,34.81,Xin_2020_25,CN,"Zhengzhou, Henan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,115.37,32.02,Xin_2020_26,CN,"Xinyang, Henan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,111.68,29.02,Xin_2020_27,CN,"Changde, Hunan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,111.33,27.65,Xin_2020_28,CN,"Loudi, Hunan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.39,39.01,Xin_2020_29,CN,"Shizuishan, Ningxia",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.27,38.47,Xin_2020_30,CN,"Yinchuan, Ningxia",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,113.44,33.89,Xin_2020_31,CN,"Xuchang, Henan",2018,"Xin et al, 2020",NA,NA,NA
