author,year,record_spatial_extent,DOI,key_ID,notes
Fennah,1953,CN,NA,Fen_1953_##,representative coordinates taken from coordinates of district on Google Maps
Han et al,2008,SK,10.1111/j.1748-5967.2008.00188.x,Han_2008_##,
Kim et al,2013,"CN, JP, SK",10.1016/j.aspen.2013.07.003,included,
Yang et al,2015,CN,10.11865/zs.20150305,Yang_2015_##,representative coordinates taken from coordinates of district on Google Maps
Zhang et al,2019,CN,10.3390/insects10100312,included,
Xin et al,2020,CN,10.1093/ee/nvaa137,Xin_2020_##,
Du et al,2021,"CN, JP, SK, US",10.1111/eva.13170,included,
Kim et al,2021,"CN, JP, SK",10.3390/insects12060539,included,
Manzoor et al,2021,CN,10.1111/aab.12674,Man_2021_##,representative coordinates taken from coordinates of city on Google Maps
Nakashita et al,2022,"CN, JP, SK, US",10.1038/s41598-022-05541-z,included,
Suzuki,2023,JP,NA,Suz_2023_##,
Kamiyama et al,2024,JP,10.1002/1438-390X.12203,included,
Liu et al,2024,US,10.1016/j.cris.2024.100078 ,Liu_2024_##,"coordinates untransformed, infestation confirmed at all sites"
Kamiyama et al,2026,"CN, JP, SK, US",10.1002/ecs2.70630,Kam_2026_##,coordinates transformed from DMS to DD
